article_id,author1,year,title,source_type,db_tier,reco_folder,reco_filename,reco_folder,reco_filename
ART-0780,Liu,2011,Clinical practice guidelines by the Infectious Diseases Society of America for t,Guideline/Org,local_lite,RECO_local_lite,Liu_Bayer_2011#@#ART-0780@#@.pdf,RECO_local_lite,Liu_Bayer_2011#@#ART-0780@#@.pdf
ART-0826,Matheson,2019,Hirsutism in women,AFP,local_lite,RECO_local_lite,Matheson_Bain_2019#@#ART-0826@#@.pdf,RECO_local_lite,Matheson_Bain_2019#@#ART-0826@#@.pdf
ART-0834,Mayans,2018,Acute migraine headache: Treatment strategies,AFP,local_lite,RECO_local_lite,Mayans_Walling_2018#@#ART-0834@#@.pdf,RECO_local_lite,Mayans_Walling_2018#@#ART-0834@#@.pdf
ART-0841,McDonald,2017,Clinical practice guidelines for Clostridium difficile infection in adults and c,Guideline/Org,local_lite,RECO_local_lite,McDonald_Gerding_2017#@#ART-0841@#@.pdf,RECO_local_lite,McDonald_Gerding_2017#@#ART-0841@#@.pdf
ART-0865,Metlay,2019,Diagnosis and treatment of adults with community-acquired pneumonia,Guideline/Org,local_lite,RECO_local_lite,Metlay_Waterer_2019#@#ART-0865@#@.pdf,RECO_local_lite,Metlay_Waterer_2019#@#ART-0865@#@.pdf
ART-0867,Michaudet,2017,Chronic cough: Evaluation and management,AFP,local_lite,RECO_local_lite,Michaudet_Malaty_2017#@#ART-0867@#@.pdf,RECO_local_lite,Michaudet_Malaty_2017#@#ART-0867@#@.pdf
ART-0868,Michels,2014,Addison disease: Early detection and treatment principles,AFP,local_lite,RECO_local_lite,Michels_Michels_2014#@#ART-0868@#@.pdf,RECO_local_lite,Michels_Michels_2014#@#ART-0868@#@.pdf
ART-0886,Moayyedi,2017,ACG and CAG clinical guideline: management of dyspepsia,Other Journal,right_click,RECO_right_click,Moayyedi_Lacy_2017#@#ART-0886@#@.pdf,RECO_right_click,Moayyedi_Lacy_2017#@#ART-0886@#@.pdf
ART-0911,National,2020,Hepatitis C information: Testing recommendations for hepatitis C virus infection,Guideline/Org,local_lite,RECO_local_lite,National_Viral_2020#@#ART-0911@#@.pdf,RECO_local_lite,National_Viral_2020#@#ART-0911@#@.pdf
ART-0919,Nettleton,2021,common questions and answers,AFP,local_lite,RECO_local_lite,Nettleton_2021#@#ART-0919@#@.pdf,RECO_local_lite,Nettleton_2021#@#ART-0919@#@.pdf
ART-0930,O'Gurek,2022,Hemoptysis: Evaluation and management,AFP,right_click,RECO_right_click,OGurek_Choi_2022#@#ART-0930@#@.pdf,RECO_right_click,OGurek_Choi_2022#@#ART-0930@#@.pdf
ART-0934,Ogé,2019,Acne vulgaris: Diagnosis and treatment,AFP,local_lite,RECO_local_lite,Og_Broussard_2019#@#ART-0934@#@.pdf,RECO_local_lite,Og_Broussard_2019#@#ART-0934@#@.pdf
ART-0935,Oh,2017,Mildly elevated liver transaminase levels: Causes and evaluation,AFP,local_lite,RECO_local_lite,Oh_Hustead_2017#@#ART-0935@#@.pdf,RECO_local_lite,Oh_Hustead_2017#@#ART-0935@#@.pdf
ART-0936,Oh,2020,Management of hypertriglyceridemia: Common questions and answers,AFP,local_lite,RECO_local_lite,Oh_Trivette_2020#@#ART-0936@#@.pdf,RECO_local_lite,Oh_Trivette_2020#@#ART-0936@#@.pdf
ART-0954,Paladine,2018,Vaginitis: Diagnosis and treatment,AFP,local_lite,RECO_local_lite,Paladine_Desai_2018#@#ART-0954@#@.pdf,RECO_local_lite,Paladine_Desai_2018#@#ART-0954@#@.pdf
ART-0965,Patel,2021,Common fractures of the radius and ulna,AFP,right_click,RECO_right_click,Patel_Statuta_2021#@#ART-0965@#@.pdf,RECO_right_click,Patel_Statuta_2021#@#ART-0965@#@.pdf
ART-0970,Paul,2025,139-147,Pediatrics,right_click,RECO_right_click,Paul_Frohna_2025#@#ART-0970@#@.pdf,RECO_right_click,Paul_Frohna_2025#@#ART-0970@#@.pdf
ART-0974,Pelletier,2016,Vision loss in older adults,AFP,right_click,RECO_right_click,Pelletier_Rojas_Roldan_2016#@#ART-0974@#@.pdf,RECO_right_click,Pelletier_Rojas_Roldan_2016#@#ART-0974@#@.pdf
ART-0983,Petering,2017,Testosterone therapy: Review of clinical applications,AFP,right_click,RECO_right_click,Petering_Brooks_2017#@#ART-0983@#@.pdf,RECO_right_click,Petering_Brooks_2017#@#ART-0983@#@.pdf
ART-1019,Qaseem,2020,"Nonpharmacologic and pharmacologic management of acute pain from non–low back, m",Annals,local_lite,RECO_local_lite,Qaseem_McLean_2020#@#ART-1019@#@.pdf,RECO_local_lite,Qaseem_McLean_2020#@#ART-1019@#@.pdf
ART-1033,Ramirez,2019,Adhesive capsulitis: Diagnosis and management,AFP,local_lite,RECO_local_lite,Ramirez_2019#@#ART-1033@#@.pdf,RECO_local_lite,Ramirez_2019#@#ART-1033@#@.pdf
ART-1034,Randall,2022,369-376,AFP,right_click,RECO_right_click,Randall_Wilson_2022#@#ART-1034@#@.pdf,RECO_right_click,Randall_Wilson_2022#@#ART-1034@#@.pdf
ART-1039,Rathjen,2019,680-686,AFP,local_lite,RECO_local_lite,Rathjen_Shahbodaghi_2019#@#ART-1039@#@.pdf,RECO_local_lite,Rathjen_Shahbodaghi_2019#@#ART-1039@#@.pdf
ART-1044,Reamy,2017,Pleuritic chest pain: Sorting through the differential diagnosis,AFP,local_lite,RECO_local_lite,Reamy_Williams_2017#@#ART-1044@#@.pdf,RECO_local_lite,Reamy_Williams_2017#@#ART-1044@#@.pdf
ART-1053,Rerucha,2019,Acute hand infections,AFP,local_lite,RECO_local_lite,Rerucha_Ewing_2019#@#ART-1053@#@.pdf,RECO_local_lite,Rerucha_Ewing_2019#@#ART-1053@#@.pdf
ART-1091,Runser,2017,Syncope: Evaluation and differential diagnosis,AFP,local_lite,RECO_local_lite,Runser_Gauer_2017#@#ART-1091@#@.pdf,RECO_local_lite,Runser_Gauer_2017#@#ART-1091@#@.pdf
ART-1093,Rupert,2022,Pruritus: Diagnosis and management,AFP,local_lite,RECO_local_lite,Rupert_Honeycutt_2022#@#ART-1093@#@.pdf,RECO_local_lite,Rupert_Honeycutt_2022#@#ART-1093@#@.pdf
ART-1099,Saguil,2019,Hand-foot-and-mouth disease: Rapid evidence review,AFP,local_lite,RECO_local_lite,Saguil_Kane_2019#@#ART-1099@#@.pdf,RECO_local_lite,Saguil_Kane_2019#@#ART-1099@#@.pdf
ART-1100,Saguil,2019,Psychological and pharmacologic treatments for adults with PTSD,AFP,local_lite,RECO_local_lite,Saguil_2019#@#ART-1100@#@.pdf,RECO_local_lite,Saguil_2019#@#ART-1100@#@.pdf
ART-1101,Salisbury-Afshar,2020,Adverse events of pharmacologic treatments of major depression in older adults,AFP,right_click,RECO_right_click,Salisbury_Afshar_2020#@#ART-1101@#@.pdf,RECO_right_click,Salisbury_Afshar_2020#@#ART-1101@#@.pdf
ART-1118,Schroeder,2016,Treatment of adult obesity with bariatric surgery,AFP,right_click,RECO_right_click,Schroeder_Harrison_2016#@#ART-1118@#@.pdf,RECO_right_click,Schroeder_Harrison_2016#@#ART-1118@#@.pdf
ART-1122,Scorza,2019,Current concepts in concussion: Initial evaluation and management,AFP,right_click,RECO_right_click,Scorza_Cole_2019#@#ART-1122@#@.pdf,RECO_right_click,Scorza_Cole_2019#@#ART-1122@#@.pdf
ART-1149,Shehab,2013,Evaluation and diagnosis of wrist pain: A case-based approach,AFP,local_lite,RECO_local_lite,Shehab_Mirabelli_2013#@#ART-1149@#@.pdf,RECO_local_lite,Shehab_Mirabelli_2013#@#ART-1149@#@.pdf
ART-1155,Shulman,2012,Clinical practical guideline for the diagnosis and management of group A strepto,Guideline/Org,local_lite,RECO_local_lite,Shulman_Bisno_2012#@#ART-1155@#@.pdf,RECO_local_lite,Shulman_Bisno_2012#@#ART-1155@#@.pdf
ART-1159,Silver,2021,Peripheral nerve entrapment and injury in the upper extremity,AFP,local_lite,RECO_local_lite,Silver_Ledford_2021#@#ART-1159@#@.pdf,RECO_local_lite,Silver_Ledford_2021#@#ART-1159@#@.pdf
ART-1170,Smith,2020,Managing hypertension using combination therapy,AFP,right_click,RECO_right_click,Smith_Lennon_2020#@#ART-1170@#@.pdf,RECO_right_click,Smith_Lennon_2020#@#ART-1170@#@.pdf
ART-1171,Smith,2018,Croup: Diagnosis and management,AFP,right_click,RECO_right_click,Tu_2018#@#ART-1171@#@.pdf,RECO_right_click,Tu_2018#@#ART-1171@#@.pdf
ART-1173,Smith,2019,"Febrile seizures: Risks, evaluation, and prognosis",AFP,right_click,RECO_right_click,Smith_Sadler_2019#@#ART-1173@#@.pdf,RECO_right_click,Smith_Sadler_2019#@#ART-1173@#@.pdf
ART-1174,Smith,2017,Respiratory syncytial virus bronchiolitis in children,AFP,right_click,RECO_right_click,Smith_Seales_2017#@#ART-1174@#@.pdf,RECO_right_click,Smith_Seales_2017#@#ART-1174@#@.pdf
ART-1178,Snyder,2018,Acute appendicitis: Efficient diagnosis and management,AFP,local_lite,RECO_local_lite,Snyder_Guthrie_2018#@#ART-1178@#@.pdf,RECO_local_lite,Snyder_Guthrie_2018#@#ART-1178@#@.pdf
ART-1197,Stacey,2021,choice and application,AFP,local_lite,RECO_local_lite,Stacey_McEleney_2021#@#ART-1197@#@.pdf,RECO_local_lite,Stacey_McEleney_2021#@#ART-1197@#@.pdf
ART-1200,Steinberg,2019,Type 2 diabetes therapies: A STEPS approach,AFP,right_click,RECO_right_click,Steinberg_Carlson_2019#@#ART-1200@#@.pdf,RECO_right_click,Steinberg_Carlson_2019#@#ART-1200@#@.pdf
ART-1203,Stephens,2018,Dental problems in primary care,AFP,right_click,RECO_right_click,Stephens_Wiedemer_2018#@#ART-1203@#@.pdf,RECO_right_click,Stephens_Wiedemer_2018#@#ART-1203@#@.pdf
ART-1204,Stevens,2014,Practice guidelines for the diagnosis and management of skin and soft tissue inf,Guideline/Org,local_lite,RECO_local_lite,Stevens_Bisno_2014#@#ART-1204@#@.pdf,RECO_local_lite,Stevens_Bisno_2014#@#ART-1204@#@.pdf
ART-1205,Stevens,2021,second update of the CHEST guideline and expert panel report,Chest,right_click,RECO_right_click,Stevens_Woller_2021#@#ART-1205@#@.pdf,RECO_right_click,Stevens_Woller_2021#@#ART-1205@#@.pdf
ART-1212,Sur,2022,628-636,AFP,right_click,RECO_right_click,Sur_Plesa_2022#@#ART-1212@#@.pdf,RECO_right_click,Sur_Plesa_2022#@#ART-1212@#@.pdf
ART-1225,Tatum,2018,Geriatric assessment: An office-based approach,AFP,local_lite,RECO_local_lite,Tatum_Talebreza_2018#@#ART-1225@#@.pdf,RECO_local_lite,Tatum_Talebreza_2018#@#ART-1225@#@.pdf
ART-1235,Tiglao,2021,outpatient management,AFP,local_lite,RECO_local_lite,Tiglao_Meisenheimer_2021#@#ART-1235@#@.pdf,RECO_local_lite,Tiglao_Meisenheimer_2021#@#ART-1235@#@.pdf
ART-1241,Tran,2021,Care of the patient with abnormal liver test results,Annals,local_lite,RECO_local_lite,Tran_Lim_2021#@#ART-1241@#@.pdf,RECO_local_lite,Tran_Lim_2021#@#ART-1241@#@.pdf
ART-1242,Trayes,2018,Annular lesions: Diagnosis and treatment,AFP,right_click,RECO_right_click,Trayes_Savage_2018#@#ART-1242@#@.pdf,RECO_right_click,Trayes_Savage_2018#@#ART-1242@#@.pdf
ART-1243,Trojian,2019,Plantar fasciitis,AFP,local_lite,RECO_local_lite,Trojian_Tucker_2019#@#ART-1243@#@.pdf,RECO_local_lite,Trojian_Tucker_2019#@#ART-1243@#@.pdf
ART-1247,Tu,2018,diagnosis and management,AFP,local_lite,RECO_local_lite,Tu_2018#@#ART-1247@#@.pdf,RECO_local_lite,Tu_2018#@#ART-1247@#@.pdf
ART-1259,US Preventive Services Task Force. Final recommendation statement,2021,prediabetes and type 2 diabetes: screening,Guideline/Org,local_lite,RECO_local_lite,US_Preventive_Services_Task_Fo_2021#@#ART-1259@#@.pdf,RECO_local_lite,US_Preventive_Services_Task_Fo_2021#@#ART-1259@#@.pdf
ART-1262,US Preventive Services Task Force. Final recommendation statement,2022,statin use for the primary prevention of cardiovascular disease in adults: preve,Guideline/Org,local_lite,RECO_local_lite,US_Preventive_Services_Task_Fo_2022#@#ART-1262@#@.pdf,RECO_local_lite,US_Preventive_Services_Task_Fo_2022#@#ART-1262@#@.pdf
ART-1263,US Preventive Services Task Force. Final recommendation statement,2011,testicular cancer: screening,Guideline/Org,local_lite,RECO_local_lite,US_Preventive_Services_Task_Fo_2011#@#ART-1263@#@.pdf,RECO_local_lite,US_Preventive_Services_Task_Fo_2011#@#ART-1263@#@.pdf
ART-1275,Uyeki,2018,"2018 update on diagnosis, treatment, chemoprophylaxis, and institutional outbrea",Guideline/Org,local_lite,RECO_local_lite,Uyeki_Bernstein_2018#@#ART-1275@#@.pdf,RECO_local_lite,Uyeki_Bernstein_2018#@#ART-1275@#@.pdf
ART-1298,Virani,2023,a report of the American Heart Association/American College of Cardiology Joint ,Circulation,local_lite,RECO_local_lite,Virani_Newby_2023#@#ART-1298@#@.pdf,RECO_local_lite,Virani_Newby_2023#@#ART-1298@#@.pdf
ART-1313,Wasserman,2018,Rheumatoid arthritis: Common questions about diagnosis and management,AFP,right_click,RECO_right_click,Wasserman_2018#@#ART-1313@#@.pdf,RECO_right_click,Wasserman_2018#@#ART-1313@#@.pdf
ART-1327,Westfall,2020,common questions and answers on diagnosis and management,AFP,right_click,RECO_right_click,Westfall_Jeske_2020#@#ART-1327@#@.pdf,RECO_right_click,Westfall_Jeske_2020#@#ART-1327@#@.pdf
ART-1331,Whelton,2017,2017 ACC/AHA/AAPA/ABC/ACPM/AGS/APhA/ASH/ASPC/NMA/PCNA Guideline for the preventi,Circulation,local_lite,RECO_local_lite,Whelton_Carey_2017#@#ART-1331@#@.pdf,RECO_local_lite,Whelton_Carey_2017#@#ART-1331@#@.pdf
ART-1337,Wilkins,2013,Diagnosis and management of acute diverticulitis,AFP,local_lite,RECO_local_lite,Wilkins_Embry_2013#@#ART-1337@#@.pdf,RECO_local_lite,Wilkins_Embry_2013#@#ART-1337@#@.pdf
ART-1339,Wilkins,2020,Upper gastrointestinal bleeding in adults: Evaluation and management,AFP,local_lite,RECO_local_lite,Wilkins_Wheeler_2020#@#ART-1339@#@.pdf,RECO_local_lite,Wilkins_Wheeler_2020#@#ART-1339@#@.pdf
ART-1341,Wilkinson,2019,"Gas, bloating, and belching: Approach to evaluation and management",AFP,local_lite,RECO_local_lite,Wilkinson_Cozine_2019#@#ART-1341@#@.pdf,RECO_local_lite,Wilkinson_Cozine_2019#@#ART-1341@#@.pdf
ART-1350,Wilson,2021,Hypothyroidism: Diagnosis and treatment,AFP,local_lite,RECO_local_lite,Wilson_Stem_2021#@#ART-1350@#@.pdf,RECO_local_lite,Wilson_Stem_2021#@#ART-1350@#@.pdf
ART-1352,Winslow,2023,diagnosis and management,AFP,local_lite,RECO_local_lite,Winslow_Vandal_2023#@#ART-1352@#@.pdf,RECO_local_lite,Winslow_Vandal_2023#@#ART-1352@#@.pdf
ART-1353,Wipperman,2019,Hidradenitis suppurativa: Rapid evidence review,AFP,right_click,RECO_right_click,Wipperman_Bragg_2019#@#ART-1353@#@.pdf,RECO_right_click,Wipperman_Bragg_2019#@#ART-1353@#@.pdf
ART-1367,Wouk,2021,End-stage renal disease: Medical management,AFP,local_lite,RECO_local_lite,Wouk_2021#@#ART-1367@#@.pdf,RECO_local_lite,Wouk_2021#@#ART-1367@#@.pdf
ART-1378,Yew,2023,evaluation and diagnosis,AFP,local_lite,RECO_local_lite,Yew_George_2023#@#ART-1378@#@.pdf,RECO_local_lite,Yew_George_2023#@#ART-1378@#@.pdf
ART-1389,Zolotor,2014,Update on prenatal care,AFP,right_click,RECO_right_click,Zolotor_Carlough_2014#@#ART-1389@#@.pdf,RECO_right_click,Zolotor_Carlough_2014#@#ART-1389@#@.pdf
ART-1398,Rabins,2007,Practice Guideline for the Treatment of Patients With Alzheimer's Disease and Ot,Guideline/Org,VC_fail,RECO_VC_fail,Rabins_2007#@#ART-1398@#@.pdf,RECO_VC_fail,Rabins_2007#@#ART-1398@#@.pdf
ART-1399,Gelenberg,2010,Practice Guideline for the Treatment of Patients With Major Depressive Disorder,Guideline/Org,VC_fail,RECO_VC_fail,Gelenberg_2010#@#ART-1399@#@.pdf,RECO_VC_fail,Gelenberg_2010#@#ART-1399@#@.pdf
ART-1400,Eikelboom,2017,Rivaroxaban with or without Aspirin in Stable Cardiovascular Disease,Other Journal,VC_fail,RECO_VC_fail,Eikelboom_2017#@#ART-1400@#@.pdf,RECO_VC_fail,Eikelboom_2017#@#ART-1400@#@.pdf
ART-1401,Nicolle,2019,Clinical Practice Guideline for the Management of Asymptomatic Bacteriuria,Guideline/Org,VC_fail,RECO_VC_fail,Nicolle_2019#@#ART-1401@#@.pdf,RECO_VC_fail,Nicolle_2019#@#ART-1401@#@.pdf
ART-1402,Baddour,2005,"Infective Endocarditis in Adults: Diagnosis, Antimicrobial Therapy, and Manageme",Other Journal,VC_fail,RECO_VC_fail,Baddour_2005#@#ART-1402@#@.pdf,RECO_VC_fail,Baddour_2005#@#ART-1402@#@.pdf
ART-1403,Hill,2006,The Practice of Travel Medicine: Guidelines by the Infectious Diseases Society o,Guideline/Org,VC_fail,RECO_VC_fail,Hill_2006#@#ART-1403@#@.pdf,RECO_VC_fail,Hill_2006#@#ART-1403@#@.pdf
ART-1404,Miller,2024,Guide to Utilization of the Microbiology Laboratory for Diagnosis of Infectious ,Other Journal,VC_fail,RECO_VC_fail,Miller_2024#@#ART-1404@#@.pdf,RECO_VC_fail,Miller_2024#@#ART-1404@#@.pdf
ART-1405,AAOS,2019,Periprosthetic Joint Infections Clinical Practice Guideline,Guideline/Org,VC_fail,RECO_VC_fail,AAOS_2019#@#ART-1405@#@.pdf,RECO_VC_fail,AAOS_2019#@#ART-1405@#@.pdf
ART-1406,VA_DoD,2022,VA/DoD Clinical Practice Guideline for the Management of Major Depressive Disord,Guideline/Org,VC_fail,RECO_VC_fail,VA_DoD_2022#@#ART-1406@#@.pdf,RECO_VC_fail,VA_DoD_2022#@#ART-1406@#@.pdf
ART-1407,Patel,2022,Updates on Age to Start and Stop Colorectal Cancer Screening: Recommendations Fr,Other Journal,VC_fail,RECO_VC_fail,Patel_2022#@#ART-1407@#@.pdf,RECO_VC_fail,Patel_2022#@#ART-1407@#@.pdf
ART-1408,Robertson,2017,Recommendations on Fecal Immunochemical Testing to Screen for Colorectal Neoplas,Other Journal,VC_fail,RECO_VC_fail,Robertson_2017#@#ART-1408@#@.pdf,RECO_VC_fail,Robertson_2017#@#ART-1408@#@.pdf
ART-1409,Tran,2016,ACG Clinical Guideline: Liver Disease and Pregnancy,Other Journal,VC_fail,RECO_VC_fail,Tran_2016#@#ART-1409@#@.pdf,RECO_VC_fail,Tran_2016#@#ART-1409@#@.pdf
ART-1410,Joglar,2024,2023 ACC/AHA/ACCP/HRS Guideline for the Diagnosis and Management of Atrial Fibri,Guideline/Org,VC_fail,RECO_VC_fail,Joglar_2024#@#ART-1410@#@.pdf,RECO_VC_fail,Joglar_2024#@#ART-1410@#@.pdf
ART-1411,Messe,2020,Practice Advisory Update: Patent Foramen Ovale and Secondary Stroke Prevention,Other Journal,VC_fail,RECO_VC_fail,Messe_2020#@#ART-1411@#@.pdf,RECO_VC_fail,Messe_2020#@#ART-1411@#@.pdf
ART-1412,AAN,2014,Prevention of Stroke in Nonvalvular Atrial Fibrillation,Guideline/Org,VC_fail,RECO_VC_fail,AAN_2014#@#ART-1412@#@.pdf,RECO_VC_fail,AAN_2014#@#ART-1412@#@.pdf
ART-1413,Iverson,2010,Practice Parameter Update: Evaluation and Management of Driving Risk in Dementia,Other Journal,VC_fail,RECO_VC_fail,Iverson_2010#@#ART-1413@#@.pdf,RECO_VC_fail,Iverson_2010#@#ART-1413@#@.pdf
ART-1414,AAN,2012,Pharmacologic Treatment for Episodic Migraine Prevention in Adults,Guideline/Org,VC_fail,RECO_VC_fail,AAN_2012#@#ART-1414@#@.pdf,RECO_VC_fail,AAN_2012#@#ART-1414@#@.pdf
ART-1415,Oskoui,2019,Practice Guideline Update: Acute Treatment of Migraine in Children and Adolescen,Guideline/Org,VC_fail,RECO_VC_fail,Oskoui_2019#@#ART-1415@#@.pdf,RECO_VC_fail,Oskoui_2019#@#ART-1415@#@.pdf
ART-1416,Oskoui,2019,Practice Guideline Update: Pharmacologic Treatment for Pediatric Migraine Preven,Guideline/Org,VC_fail,RECO_VC_fail,Oskoui_2019#@#ART-1416@#@.pdf,RECO_VC_fail,Oskoui_2019#@#ART-1416@#@.pdf
ART-1417,Turan,2017,Stroke Prevention in Symptomatic Large Artery Intracranial Atherosclerosis,Other Journal,VC_fail,RECO_VC_fail,Turan_2017#@#ART-1417@#@.pdf,RECO_VC_fail,Turan_2017#@#ART-1417@#@.pdf
ART-1419,Chang,2017,Chronic Cough Related to Acute Viral Bronchiolitis in Children,Other Journal,VC_fail,RECO_VC_fail,Chang_2017#@#ART-1419@#@.pdf,RECO_VC_fail,Chang_2017#@#ART-1419@#@.pdf
ART-1420,Cobaugh,2007,Atypical Antipsychotic Medication Poisoning: An Evidence-Based Consensus Guideli,Other Journal,VC_fail,RECO_VC_fail,Cobaugh_2007#@#ART-1420@#@.pdf,RECO_VC_fail,Cobaugh_2007#@#ART-1420@#@.pdf
ART-1421,Scharman,2006,Diphenhydramine and Dimenhydrinate Poisoning: An Evidence-Based Consensus Guidel,Other Journal,VC_fail,RECO_VC_fail,Scharman_2006#@#ART-1421@#@.pdf,RECO_VC_fail,Scharman_2006#@#ART-1421@#@.pdf
ART-1422,Caravati,2007,Long-Acting Anticoagulant Rodenticide Poisoning: An Evidence-Based Consensus Gui,Other Journal,VC_fail,RECO_VC_fail,Caravati_2007#@#ART-1422@#@.pdf,RECO_VC_fail,Caravati_2007#@#ART-1422@#@.pdf
ART-1423,Nelson,2007,Selective Serotonin Reuptake Inhibitor Poisoning: An Evidence-Based Consensus Gu,Other Journal,VC_fail,RECO_VC_fail,Nelson_2007#@#ART-1423@#@.pdf,RECO_VC_fail,Nelson_2007#@#ART-1423@#@.pdf
ART-1424,Dart,2006,Acetaminophen Poisoning: An Evidence-Based Consensus Guideline for Out-of-Hospit,Other Journal,VC_fail,RECO_VC_fail,Dart_2006#@#ART-1424@#@.pdf,RECO_VC_fail,Dart_2006#@#ART-1424@#@.pdf
ART-1425,USPSTF,2022,Aspirin Use to Prevent Cardiovascular Disease: USPSTF Recommendation Statement,Guideline/Org,VC_fail,RECO_VC_fail,USPSTF_2022#@#ART-1425@#@.pdf,RECO_VC_fail,USPSTF_2022#@#ART-1425@#@.pdf
ART-1426,American Diabetes Association,2025,Standards of Care in Diabetes—2025,Guideline/Org,VC_fail,RECO_VC_fail,ADA_2025#@#ART-1426@#@.pdf,RECO_VC_fail,ADA_2025#@#ART-1426@#@.pdf
ART-1427,Mottl,2022,KDOQI Commentary on the KDIGO 2022 Update to the Clinical Practice Guideline for,Guideline/Org,VC_fail,RECO_VC_fail,Mottl_2022#@#ART-1427@#@.pdf,RECO_VC_fail,Mottl_2022#@#ART-1427@#@.pdf
ART-1428,Drawz,2021,KDOQI US Commentary on the 2021 KDIGO Clinical Practice Guideline for the Manage,Guideline/Org,VC_fail,RECO_VC_fail,Drawz_2021#@#ART-1428@#@.pdf,RECO_VC_fail,Drawz_2021#@#ART-1428@#@.pdf
ART-1429,Ikizler,2024,ASN Kidney Health Guidance on the Management of Obesity in Persons Living with K,Other Journal,VC_fail,RECO_VC_fail,Ikizler_2024#@#ART-1429@#@.pdf,RECO_VC_fail,Ikizler_2024#@#ART-1429@#@.pdf
ART-1430,Isakova,2017,KDOQI US Commentary on the 2017 KDIGO Clinical Practice Guideline Update for the,Guideline/Org,VC_fail,RECO_VC_fail,Isakova_2017#@#ART-1430@#@.pdf,RECO_VC_fail,Isakova_2017#@#ART-1430@#@.pdf
ART-1431,Ikizler,2020,KDOQI Clinical Practice Guideline for Nutrition in CKD: 2020 Update,Guideline/Org,VC_fail,RECO_VC_fail,Ikizler_2020#@#ART-1431@#@.pdf,RECO_VC_fail,Ikizler_2020#@#ART-1431@#@.pdf
ART-1432,High,2009,Clinical Practice Guideline for the Evaluation of Fever and Infection in Older A,Guideline/Org,VC_fail,RECO_VC_fail,High_2009#@#ART-1432@#@.pdf,RECO_VC_fail,High_2009#@#ART-1432@#@.pdf
ART-1433,Lantos,2020,"Clinical Practice Guidelines by the Infectious Diseases Society of America, Amer",Guideline/Org,VC_fail,RECO_VC_fail,Lantos_2020#@#ART-1433@#@.pdf,RECO_VC_fail,Lantos_2020#@#ART-1433@#@.pdf
