Action,Reference,OldValue,NewValue
Dropped fragment stub,2009;34(7):697-700.,,
SourceType AFP fix,"Ely JW, Rosenfeld S, Seabury Stone M. Diagnosis and management of tinea infectio",Other Journal,AFP
SourceType AFP fix,Erlich DR: Baloxavir marboxil (Xofluza) for influenza. Am Fam Physician 2019;100,Other Journal,AFP
SourceType AFP fix,"Holder S, Narula NS. Common sleep disorders in adults: diagnosis and management.",Other Journal,AFP
SourceType AFP fix,"Mercado MG, Smith DK, Guard EL. Acute kidney injury: diagnosis and management. A",Other Journal,AFP
SourceType AFP fix,"Powell-Dunford N, Adams JR, Grace C. Medical advice for commercial air travel. A",Other Journal,AFP
SourceType AFP fix,"Rathjen NA, Shahbodaghi SD, Brown JA. Hypothermia and cold weather injuries. Am ",Other Journal,AFP
SourceType AFP fix,"Saguil A, Farnell EA IV, Jordan TS. Multiple sclerosis: a primary care perspecti",Other Journal,AFP
SourceType Guideline fix,"Curtis KM, Jatlaoui TC, Tepper NK, et al: US selected practice recommendations f",Other Journal,Guideline/Org
SourceType Guideline fix,"Freedman MS, Hunter P, Ault K, Kroger A: Advisory Committee on Immunization Prac",Other Journal,Guideline/Org
SourceType Guideline fix,"Grohskopf LA, Blanton LH, Ferdinands JM, et al. Prevention and control of season",Other Journal,Guideline/Org
SourceType Guideline fix,"Kloppenburg M, Kroon FP, Blanco FJ, et al: 2018 Update of the EULAR recommendati",Other Journal,Guideline/Org
SourceType Guideline fix,"Matiasz R, Rigolin VH: 2017 focused update for management of patients with valvu",Other Journal,Guideline/Org
SourceType Guideline fix,"Mattson CL, Chowdhury F, Gilson TP. Notes from the field: trends in gabapentin d",Other Journal,Guideline/Org
SourceType Guideline fix,"Meites E, Kempe A, Markowitz LE: Use of a 2-dose schedule for human papillomavir",Other Journal,Guideline/Org
TextbookRestored,American Psychiatric Association: Diagnostic and Statistical Manual of Mental Di,merged,1x|Supplementary
TextbookRestored,American Psychiatric Association: Diagnostic and Statistical Manual of Mental Di,merged,1x|Supplementary
TextbookRestored,"American Psychiatric Association: Diagnostic and Statistical Manual of Mental
Di",merged,1x|Supplementary
TextbookRestored,American Psychiatric Association: Diagnostic and Statistical Manual of Mental Di,merged,1x|Supplementary
TextbookRestored,American Psychiatric Association. Diagnostic and Statistical Manual of Mental Di,merged,1x|Supplementary
TextbookRestored,Dinulos JGH: Habif’s Clinical Dermatology: A Color Guide to Diagnosis and Therap,merged,1x|Supplementary
TextbookRestored,"Dinulos
JGH: Habif’s Clinical Dermatology: A Color Guide to Diagnosis and Therap",merged,1x|Supplementary
TextbookRestored,"Dinulos
JGH: Habif’s Clinical Dermatology: A Color Guide to Diagnosis and Therap",merged,1x|Supplementary
TextbookRestored,"Dinulos JGH: Habif’s Clinical
Dermatology: A Color Guide to Diagnosis and Therap",merged,1x|Supplementary
TextbookRestored,Dinulos JGH. Habif’s Clinical Dermatology: A Color Guide to Diagnosis and Therap,merged,1x|Supplementary
TextbookRestored,"Eiff MP, Hatch R: Fracture Management for Primary Care, ed 3. Elsevier Saunders,",merged,1x|Supplementary
TextbookRestored,"Eiff MP, Hatch R: Fracture Management for Primary Care,
ed 3. Elsevier Saunders,",merged,1x|Supplementary
TextbookRestored,"Eiff MP,
Hatch R: Fracture Management for Primary Care, ed 3. Elsevier Saunders,",merged,1x|Supplementary
TextbookRestored,"Eiff MP, Hatch R: Fracture Management for Primary Care, ed 3 updated. Elsevier S",merged,1x|Supplementary
TextbookRestored,"Goldman L, Schafer AI (eds): Goldman-Cecil Medicine, ed 26. Elsevier, 2020, pp 1",merged,1x|Supplementary
TextbookRestored,"Goldman L, Schafer AI (eds): Goldman-Cecil Medicine, ed 26. Elsevier, 2020, p 99",merged,1x|Supplementary
TextbookRestored,"Goldman L, Schafer AI (eds): Goldman-Cecil
Medicine, ed 26. Elsevier, 2020, p 18",merged,1x|Supplementary
TextbookRestored,"Goldman L, Schafer AI (eds): Goldman-Cecil Medicine, ed 26. Elsevier, 2020, p 35",merged,1x|Supplementary
TextbookRestored,"Goldman L, Schafer AI (eds): Goldman-Cecil Medicine, ed 26. Elsevier, 2020, pp 5",merged,1x|Supplementary
TextbookRestored,"Habif TP: Clinical Dermatology: A Color Guide to Diagnosis and Therapy, ed 6. El",merged,1x|Supplementary
TextbookRestored,"Habif TP: Clinical Dermatology: A Color Guide to Diagnosis and Therapy, ed 6. El",merged,1x|Supplementary
TextbookRestored,"Kliegman RM, St Geme JW III, Blum NJ, et al (eds): Nelson Textbook of
Pediatrics",merged,1x|Supplementary
TextbookRestored,"Kliegman RM, St Geme JW III, Blum NJ, et al (eds): Nelson Textbook of Pediatrics",merged,1x|Supplementary
TextbookRestored,"Kliegman RM, St Geme
JW III, Blum NJ, et al, eds. Nelson Textbook of Pediatrics.",merged,1x|Supplementary
TextbookRestored,"Townsend CM Jr, Beauchamp RD, Evers BM, Mattox KL: Sabiston Textbook of Surgery:",merged,1x|Supplementary
TextbookRestored,"Townsend CM Jr, Beauchamp RD, Evers BM, Mattox KL: Sabiston Textbook of Surgery:",merged,1x|Supplementary
USPSTF format normalized,US Preventive Services Task Force. Final recommendation statement: testicular ca,,Final Recommendation Statement: Testicular Cancer: Screening. US Preventive Serv
USPSTF format normalized,US Preventive Services Task Force. Final recommendation statement: vitamin D def,,Final Recommendation Statement: Vitamin D Deficiency In Adults: Screening. US Pr
USPSTF format normalized,US Preventive Services Task Force. Final recommendation statement: abdominal aor,,Final Recommendation Statement: Abdominal Aortic Aneurysm: Screening. US Prevent
USPSTF format normalized,US Preventive Services Task Force. Final recommendation statement: asymptomatic ,,Final Recommendation Statement: Asymptomatic Carotid Artery Stenosis: Screening.
USPSTF format normalized,US Preventive Services Task Force. Final recommendation statement: cardiovascula,,Final Recommendation Statement: Cardiovascular Disease: Risk Assessment With Non
USPSTF format normalized,US Preventive Services Task Force. Final recommendation statement: human immunod,,Final Recommendation Statement: Human Immunodeficiency Virus (Hiv) Infection: Sc
USPSTF format normalized,US Preventive Services Task Force. Final recommendation statement: prediabetes a,,Final Recommendation Statement: Prediabetes And Type 2 Diabetes: Screening. US P
USPSTF format normalized,US Preventive Services Task Force. Final recommendation statement: prevention of,,Final Recommendation Statement: Prevention Of Dental Caries In Children Younger 
USPSTF format normalized,US Preventive Services Task Force. Final recommendation statement: primary open-,,Final Recommendation Statement: Primary Open-Angle Glaucoma: Screening. US Preve
USPSTF format normalized,"US Preventive Services Task Force. Final recommendation statement: vitamin, mine",,"Final Recommendation Statement: Vitamin, Mineral, And Multivitamin Supplementati"
