Subcategory,PrimaryCategory,BlueprintCategory,Total_Questions_6yr,Avg_Per_Exam,Trend,Trend_Slope,Yield_Score,Top_QuestionTypes,Key_ClinicalFocuses
Lung Cancer Screening,Population-Based Care,Preventive Care,7,1.2,Rising 📈,0.143,1.6,Screening,Lung cancer screening in former smokers | USPSTF lung cancer screening criteria | Number needed to screen calculation
Cervical Cancer Screening,Population-Based Care,Preventive Care,4,0.7,Rising 📈,0.229,1.35,"Screening, Management",HPV co-testing initiation age cervical cancer | Cervical cancer screening guidelines and indications | Quality improvement for cancer screening rates
Polycystic Ovary Syndrome,Reproductive:Female,Chronic Care Management,4,0.7,Rising 📈,0.229,1.35,"Diagnosis, Management",PCOS diagnosis using Rotterdam criteria | First-line PCOS treatment selection | First-line treatment for PCOS-related infertility
Osteoporosis Management,Musculoskeletal,Chronic Care Management,4,0.7,Rising 📈,0.229,1.35,Management,Duration of bisphosphonate therapy in osteoporosis | Osteoporosis treatment initiation based on FRAX risk | Bisphosphonate intolerance and alternative therapy
Deep Vein Thrombosis Management,Cardiovascular,Acute Care and Diagnosis,3,0.5,Rising 📈,0.257,1.27,Management,Anticoagulation duration for provoked DVT | DVT anticoagulation in advanced CKD | Initial anticoagulation for unprovoked DVT
Smoking Cessation,Psychogenic,Chronic Care Management,4,0.7,Rising 📈,0.171,1.18,"Pharmacology, Management",Nicotinic receptor partial agonist for smoking cessation | Pharmacologic agents for smoking cessation | Optimal pharmacotherapy for smoking cessation
Asthma Management,Respiratory,Chronic Care Management,4,0.7,Rising 📈,0.171,1.18,"Management, Pharmacology",Asthma control and exacerbation prevention | SMART therapy regimen selection asthma | Step-up therapy for persistent asthma
Celiac Disease Diagnosis,Gastrointestinal,Acute Care and Diagnosis,4,0.7,Rising 📈,0.171,1.18,Diagnosis,False-negative celiac serology interpretation | Negative predictive value celiac disease testing | Interpreting false negative celiac screening
Osteoporosis Screening,Musculoskeletal,Preventive Care,3,0.5,Rising 📈,0.2,1.1,Screening,DEXA screening timing in postmenopausal women | USPSTF osteoporosis screening risk factors | USPSTF osteoporosis screening guidelines postmenopausal women
COPD Management,Respiratory,Chronic Care Management,5,0.8,Stable ➡️,0.086,1.09,"Management, Pharmacology",GOLD stage C COPD initial pharmacotherapy | COPD pharmacotherapy escalation strategy | Mortality reduction in severe COPD
Immunization in Immunocompromised Patients,Gastrointestinal,Preventive Care,2,0.3,Rising 📈,0.229,1.02,Management,Live vaccine contraindication during chemotherapy | Pneumococcal vaccination in immunosuppressed patients
Acute Limb Ischemia,Cardiovascular,Emergent and Urgent Care,2,0.3,Rising 📈,0.229,1.02,Management,Acute lower extremity arterial occlusion management | Acute limb ischemia emergency management
Severe Hyponatremia Management,Cardiovascular,Emergent and Urgent Care,2,0.3,Rising 📈,0.229,1.02,Management,Symptomatic hyponatremia treatment dosing | Acute symptomatic hyponatremia treatment
Delirium Management,Cardiovascular,Acute Care and Diagnosis,2,0.3,Rising 📈,0.229,1.02,Pharmacology,Antipsychotic choice for acute agitation in delirium | Antipsychotic selection for delirium
Concussion Management,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Rising 📈,0.229,1.02,Management,Initial management of sports-related concussion | Mild head injury and concussion disposition
Cannabinoid Hyperemesis Syndrome,Psychogenic,Acute Care and Diagnosis,2,0.3,Rising 📈,0.229,1.02,"Diagnosis, Management",Recognizing cannabinoid hyperemesis syndrome presentation | Treatment of cannabis hyperemesis syndrome
Alcohol Use Screening and Intervention,Population-Based Care,Preventive Care,2,0.3,Rising 📈,0.229,1.02,Management,Brief intervention for at-risk alcohol use | USPSTF-recommended intervention for positive alcohol screening
Stable Angina Management,Cardiovascular,Chronic Care Management,3,0.5,Rising 📈,0.143,0.93,"Pharmacology, Management",Optimizing therapy in refractory angina | Beta-blocker selection for angina | Antianginal therapy in stable CAD
Abnormal Uterine Bleeding,Reproductive:Female,Acute Care and Diagnosis,3,0.5,Rising 📈,0.143,0.93,"Diagnosis, Management",Evaluating abnormal uterine bleeding in premenopausal women | Acute heavy menstrual bleeding treatment | Workup of heavy menstrual bleeding in adolescent
Orthostatic Hypotension,Cardiovascular,Chronic Care Management,3,0.5,Rising 📈,0.143,0.93,"Pharmacology, Diagnosis",First-line pharmacologic treatment for orthostatic hypotension | Diagnostic criteria for orthostatic hypotension | First-line pharmacotherapy for neurogenic orthostatic hypotension
Food Allergy Prevention,Population-Based Care,Preventive Care,3,0.5,Rising 📈,0.143,0.93,Counseling,Early peanut introduction reduces allergy risk | Early allergen introduction for allergy prevention | Early allergen introduction reduces food allergy risk
Hematuria Evaluation,Nephrologic,Acute Care and Diagnosis,3,0.5,Rising 📈,0.143,0.93,Diagnosis,Workup of asymptomatic microscopic hematuria | Workup of gross hematuria with malignancy risk | Workup of painless hematuria in older adults
Vitamin B12 Deficiency,Endocrine,Chronic Care Management,3,0.5,Rising 📈,0.143,0.93,"Diagnosis, Pathophysiology",Recognizing B12 deficiency presenting as glossitis | B12 deficiency etiology post-ileocolectomy | B12 deficiency after bariatric surgery
Smoking Cessation Counseling,Cardiovascular,Preventive Care,3,0.5,Rising 📈,0.143,0.93,Counseling,Motivational interviewing for tobacco cessation | Behavioral interventions for smoking cessation | Motivational interviewing for behavior change
Acute Coronary Syndrome,Cardiovascular,Emergent and Urgent Care,3,0.5,Rising 📈,0.143,0.93,"Management, Diagnosis",EKG changes with exertional chest pain | Acute MI presentation and recognition | EKG findings indicating acute MI in chest pain
Acute Pancreatitis Management,Gastrointestinal,Emergent and Urgent Care,2,0.3,Rising 📈,0.171,0.85,Management,Timing of cholecystectomy in gallstone pancreatitis | Dietary management in acute pancreatitis recovery
Chronic Urticaria Management,Hematologic/Immune,Chronic Care Management,2,0.3,Rising 📈,0.171,0.85,Management,First-line treatment chronic urticaria | Second-generation antihistamine dosing escalation
Heart Failure Management,Cardiovascular,Chronic Care Management,2,0.3,Rising 📈,0.171,0.85,"Pharmacology, Management",SGLT2 inhibitors reducing HF hospitalizations | Medication optimization in improved heart failure
Hypothermia Management,Hematologic/Immune,Emergent and Urgent Care,2,0.3,Rising 📈,0.171,0.85,Management,Fluid selection in severe hypothermia | Severe hypothermia rewarming technique
Dental Caries Prevention,Reproductive:Female,Preventive Care,2,0.3,Rising 📈,0.171,0.85,"Management, Counseling",Fluoride varnish timing in pediatric caries prevention | Fluoride supplementation and toothpaste in infants
Hepatitis C Screening,Gastrointestinal,Preventive Care,4,0.7,Stable ➡️,0.057,0.84,"Screening, Diagnosis",USPSTF hepatitis C screening recommendations | Confirming active HCV infection with molecular testing | Interpreting hepatitis C serology results
Abdominal Aortic Aneurysm,Cardiovascular,Chronic Care Management,3,0.5,Stable ➡️,0.086,0.76,"Management, Diagnosis",AAA rupture risk stratification | AAA surveillance and follow-up intervals | AAA risk factors and recognition
Fall Prevention in Older Adults,Cardiovascular,Preventive Care,3,0.5,Stable ➡️,0.086,0.76,"Management, Counseling",Evidence-based fall prevention interventions | Exercise for fall risk reduction in elderly | Evidence-based fall prevention strategies elderly
Fibromyalgia Management,Musculoskeletal,Chronic Care Management,3,0.5,Stable ➡️,0.086,0.76,"Pharmacology, Management",First-line fibromyalgia treatment efficacy | First-line pharmacotherapy for fibromyalgia | FDA-approved medications for fibromyalgia pain
Obstructive Sleep Apnea,Respiratory,Chronic Care Management,3,0.5,Stable ➡️,0.086,0.76,"Diagnosis, Management",Recognition of OSA cardinal symptom | First-line treatment for mild OSA | Diagnostic confirmation of sleep apnea
Community-Acquired Pneumonia,Respiratory,Acute Care and Diagnosis,5,0.8,Stable ➡️,-0.029,0.75,Management,CAP severity assessment and site-of-care decision | Antibiotic selection for CAP in elderly | Empiric antibiotic selection for CAP
Kawasaki Disease,Hematologic/Immune,Acute Care and Diagnosis,2,0.3,Rising 📈,0.114,0.68,Diagnosis,Kawasaki disease cardiac complication screening | Kawasaki disease complications recognition
Preeclampsia Prevention,Hematologic/Immune,Preventive Care,2,0.3,Rising 📈,0.114,0.68,Management,Low-dose aspirin for preeclampsia prevention | Aspirin prophylaxis for preeclampsia risk
Postinflammatory Hyperpigmentation,Integumentary,Acute Care and Diagnosis,2,0.3,Rising 📈,0.114,0.68,"Diagnosis, Pharmacology",Complication risk from insect bite inflammation | Topical treatment for hyperpigmentation in darker skin
Obsessive-Compulsive Disorder,Psychogenic,Chronic Care Management,2,0.3,Rising 📈,0.114,0.68,"Management, Pharmacology",First-line pharmacotherapy for OCD
Perioperative Anticoagulation Management,Cardiovascular,Chronic Care Management,2,0.3,Rising 📈,0.114,0.68,Management,DOAC management in preoperative setting | Perioperative anticoagulation in high-risk AF
CKD-Mineral Bone Disorder,Nephrologic,Chronic Care Management,2,0.3,Rising 📈,0.114,0.68,"Management, Pathophysiology",Laboratory monitoring in CKD-MBD | CKD-MBD laboratory findings and pathophysiology
Cervical Myelopathy,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Rising 📈,0.114,0.68,Diagnosis,Spinal cord compression clinical presentation | Clinical recognition of cervical myelopathy signs
Colorectal Cancer Screening,Gastrointestinal,Preventive Care,2,0.3,Rising 📈,0.114,0.68,Screening,Negative stool DNA test follow-up interval | Surveillance intervals after adenoma removal
Venous Thromboembolism Management,Cardiovascular,Acute Care and Diagnosis,2,0.3,Rising 📈,0.114,0.68,Management,Unprovoked DVT anticoagulation duration | Anticoagulation duration for provoked DVT
Type 2 Diabetes Diagnosis,Endocrine,Acute Care and Diagnosis,2,0.3,Rising 📈,0.114,0.68,Diagnosis,HbA1c threshold for diabetes diagnosis | Diagnostic criteria for diabetes mellitus
Type 2 Diabetes Screening,Endocrine,Preventive Care,2,0.3,Rising 📈,0.114,0.68,Screening,USPSTF diabetes screening guidelines by age and BMI | USPSTF screening recommendations for adolescent diabetes
Cancer Screening,Cardiovascular,Preventive Care,2,0.3,Rising 📈,0.114,0.68,Screening,Colorectal cancer screening in transgender patients | USPSTF colorectal cancer screening guidelines
Complex Regional Pain Syndrome,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Rising 📈,0.114,0.68,Diagnosis,CRPS diagnosis clinical criteria | Post-fracture CRPS recognition and features
Bipolar I Disorder Diagnosis,Psychogenic,Acute Care and Diagnosis,2,0.3,Rising 📈,0.114,0.68,Diagnosis,DSM-5 diagnostic criteria for bipolar I disorder | Distinguishing bipolar I from other mood disorders
Prostate Cancer Screening,Patient-Based Systems,Preventive Care,2,0.3,Rising 📈,0.114,0.68,"Screening, Management",Shared decision-making for prostate cancer screening | Elevated PSA follow-up management
Hidradenitis Suppurativa,Integumentary,Chronic Care Management,4,0.7,Stable ➡️,0.0,0.67,"Diagnosis, Management",Diagnosing hidradenitis suppurativa presentation | Recognizing hidradenitis suppurativa associations | First-line treatment for mild hidradenitis suppurativa
Anorexia Nervosa Complications,Psychogenic,Chronic Care Management,3,0.5,Stable ➡️,0.029,0.59,"Pathophysiology, Management",Hypothalamic-pituitary axis effects in anorexia | BMD recovery markers in eating disorders | Inpatient admission criteria in eating disorders
HIV Screening,Population-Based Care,Preventive Care,3,0.5,Stable ➡️,0.029,0.59,Screening,HIV screening in sexually active adults | HIV screening recommendations in primary care | USPSTF HIV screening recommendations young adults
Cardiovascular Disease Prevention,Cardiovascular,Preventive Care,3,0.5,Stable ➡️,0.029,0.59,"Counseling, Screening",Evidence-based dietary approach for primary CVD prevention | Primary prevention CVD in intermediate-risk patients | Exercise recommendations for cardiovascular risk reduction
Alcohol Use Disorder Treatment,Psychogenic,Chronic Care Management,3,0.5,Stable ➡️,0.029,0.59,Pharmacology,Pharmacotherapy for reducing alcohol consumption | Medication for alcohol relapse prevention | Medication selection for alcohol abstinence maintenance
Adolescent Depression Screening,Population-Based Care,Preventive Care,2,0.3,Stable ➡️,0.057,0.5,Screening,USPSTF depression screening recommendations adolescent | USPSTF recommended screening in adolescents
Anaphylaxis Management,Hematologic/Immune,Emergent and Urgent Care,4,0.7,Stable ➡️,-0.057,0.5,Management,Epinephrine administration site in anaphylaxis | First-line treatment for anaphylaxis | Anaphylaxis treatment route selection
Peripheral Arterial Disease,Cardiovascular,Chronic Care Management,2,0.3,Stable ➡️,0.057,0.5,Management,Antiplatelet therapy in PAD management | Initial treatment of claudication
Recurrent Nephrolithiasis Prevention,Nephrologic,Chronic Care Management,2,0.3,Stable ➡️,0.057,0.5,Management,Secondary prevention of calcium oxalate stones | Pharmacologic prevention of recurrent calcium stones
Tinnitus Management,Neurologic,Chronic Care Management,2,0.3,Stable ➡️,0.057,0.5,Management,Evidence-based tinnitus treatment and quality of life | Evidence-based tinnitus quality of life treatment
Trigeminal Neuralgia,Integumentary,Acute Care and Diagnosis,2,0.3,Stable ➡️,0.057,0.5,"Management, Diagnosis",First-line pharmacologic treatment of trigeminal neuralgia | Cranial nerve identification in trigeminal neuralgia
Group A Streptococcal Pharyngitis,Hematologic/Immune,Acute Care and Diagnosis,2,0.3,Stable ➡️,0.057,0.5,"Management, Pharmacology",Recurrent GAS pharyngitis after treatment | Antibiotic efficacy in streptococcal pharyngitis
Greater Trochanteric Pain Syndrome,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Stable ➡️,0.057,0.5,Diagnosis,Clinical diagnosis of hip pain with gait abnormality | Differential diagnosis of lateral hip pain
Cyclical Mastalgia Management,Reproductive:Female,Chronic Care Management,2,0.3,Stable ➡️,0.057,0.5,Management,Cyclical breast pain treatment preserving fertility | First-line treatment for cyclical breast pain
Multiple Myeloma Diagnosis,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Stable ➡️,0.057,0.5,Diagnosis,Multiple myeloma presentation and diagnosis | Confirming multiple myeloma with light chains
Ankle Sprain Management,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Stable ➡️,0.057,0.5,"Pharmacology, Management",Optimal pain management for ankle sprain | Lateral ankle sprain treatment approach
