session_number,session_name,subcategory_matches
2,Peripheral Vascular Disease,"Peripheral Arterial Disease,Abdominal Aortic Aneurysm,Deep Vein Thrombosis Management,Venous Thromboembolism Management,Acute Limb Ischemia"
3,Acute Coronary Syndrome & Hyperlipidemia,"Acute Coronary Syndrome,Stable Angina Management,Cardiovascular Risk Reduction,Smoking Cessation Counseling,Cardiovascular Disease Prevention"
4,Hypertension,"Hypertension Management,Cardiovascular Risk Reduction,Cardiovascular Risk Assessment,Orthostatic Hypotension"
5,Heart Failure,"Heart Failure Management,Heart Failure with Reduced Ejection Fraction,Severe Hyponatremia Management"
6,Managing Dysrhythmias,"Atrial Fibrillation Stroke Prevention,Atrial Fibrillation Anticoagulation,Supraventricular Tachycardia"
7,Health Promotion & Prevention,"Lung Cancer Screening,Cervical Cancer Screening,Alcohol Use Screening and Intervention,HIV Screening,Depression Screening,Adolescent Depression Screening,Colorectal Cancer Screening,Breast Cancer Screening,Influenza Vaccination,Tuberculosis Screening,Abdominal Aortic Aneurysm Screening,Prostate Cancer Screening"
8,Epidemiology & Medical Literature,"Cardiovascular Risk Assessment,Breast Cancer Screening,Influenza Vaccination"
9,Managing Common Cutaneous Problems,"Postinflammatory Hyperpigmentation,Hidradenitis Suppurativa,Onychomycosis Treatment,Hand-Foot-and-Mouth Disease,Hordeolum (Stye) Management,Trigeminal Neuralgia"
10,Emergency Medicine I,"Acute Coronary Syndrome,Sepsis Management,Anaphylaxis Management,Acute Limb Ischemia,Severe Hyponatremia Management,Acute Ischemic Stroke Management,Pulmonary Embolism Diagnosis"
11,Emergency Medicine II,"Serotonin Syndrome,Superior Vena Cava Syndrome,Hypothermia Management,Acute Asthma Exacerbation"
12,Emergency Medicine III,"Deep Vein Thrombosis Management,Pulmonary Embolism Diagnosis,Acute Pancreatitis Management,Alcohol Withdrawal Syndrome,Delirium Management"
13,Obesity & Metabolic Syndrome,"Bariatric Surgery and Obesity,Type 2 Diabetes Management"
14,Diabetes Mellitus,"Type 2 Diabetes Management,Type 2 Diabetes Diagnosis,Cardiovascular Risk in Diabetes,Type 1 Diabetes Management"
15,Endocrine Diseases,"Thyroid Nodule Evaluation,Primary Hyperparathyroidism,Hirsutism Management,Vitamin B12 Deficiency,Polycystic Ovary Syndrome"
16,Lower GI Tract Diseases,"Celiac Disease Diagnosis,Diverticulitis Management"
17,Upper GI Tract Diseases,"Acute Pancreatitis Management,Nonalcoholic Fatty Liver Disease"
18,Geriatrics I: Systems of Care & Cognitive Impairment,"Delirium Management,Insomnia Management"
19,Geriatrics II: Osteoporosis Gait & Prevention,"Osteoporosis Management,Osteoporosis Screening,Fall Prevention in Older Adults,Vitamin B12 Deficiency"
20,Geriatrics III: Pharmacokinetics & Polypharmacy,"Insomnia Management,Delirium Management"
21,Hematology Issues,"Iron Deficiency Anemia,Tumor Lysis Syndrome,Multiple Myeloma Diagnosis,Chronic Urticaria Management"
22,Fever & Infectious Disease in Children,"Kawasaki Disease,Group A Streptococcal Pharyngitis,Hand-Foot-and-Mouth Disease,Bronchiolitis Management,Croup Management,Pertussis Diagnosis"
23,STIs Vaginitis & Vaginosis,"Pelvic Inflammatory Disease,HIV Screening"
24,Renal Disease I,"Hematuria Evaluation,Nephrolithiasis Management"
25,Renal Disease II,"Recurrent Nephrolithiasis Prevention,CKD-Mineral Bone Disorder,Stress Urinary Incontinence,Hematuria Evaluation"
26,Common Neurological Disorders,"Cervical Myelopathy,Stroke Prevention and Secondary Prevention,Acute Ischemic Stroke Management"
27,Maternity Care I: Prenatal Care & Early Complications,"Preeclampsia Prevention,Dental Caries Prevention,Food Allergy Prevention,Influenza Treatment in Pregnancy"
28,Maternity Care II: Medical Complications & Labor Management,"Preeclampsia Prevention,Deep Vein Thrombosis Management,Influenza Treatment in Pregnancy"
29,Women's Health I: AUB & Gynecologic Oncology,"Abnormal Uterine Bleeding,Cervical Cancer Screening,Primary Ovarian Insufficiency,Cyclical Mastalgia Management"
30,Women's Health II: Breast Issues Contraception & Infertility,"Breast Cancer Screening,Breast Cancer Surveillance,Polycystic Ovary Syndrome"
31,Musculoskeletal Medicine,"Adhesive Capsulitis,Greater Trochanteric Pain Syndrome,Lumbar Spinal Stenosis"
32,Fracture Care,"Stress Fracture Diagnosis,Scaphoid Fracture Management,Distal Radius Fracture Management,Distal Phalanx Fracture Management,Complex Regional Pain Syndrome"
33,Sports Medicine,"Concussion Management,Ankle Sprain Management,Patellofemoral Pain Syndrome,Osgood-Schlatter Disease,Stress Fracture Diagnosis"
34,Pediatric Orthopedics,"Distal Radius Fracture Management,Osgood-Schlatter Disease,Child Abuse Recognition"
35,Common ENT Problems,"Tinnitus Management,Group A Streptococcal Pharyngitis,Allergic Rhinitis Management,Meniere's Disease Diagnosis"
36,Management of Chronic Pain,"Fibromyalgia Management,Osteoarthritis Management,Lumbar Spinal Stenosis"
37,Common Newborn Issues,"Dental Caries Prevention,Food Allergy Prevention,Bronchiolitis Management,Child Abuse Recognition"
38,Well-Child & Adolescent Issues,"Adolescent Depression Screening,Conduct Disorder"
39,Behavioral Medicine I: Depression,"Insomnia Management,Alcohol Use Disorder Treatment,Anorexia Nervosa Complications,Anorexia Nervosa Treatment"
40,Behavioral Medicine II: Bipolar & Anxiety Disorders,"Bipolar I Disorder Diagnosis,Obsessive-Compulsive Disorder,Post-Traumatic Stress Disorder"
41,Behavioral Medicine III: ADHD Autism & OCD,"Obsessive-Compulsive Disorder,Borderline Personality Disorder"
42,Pulmonary I: COPD,"COPD Management,COPD Diagnosis,Spirometry Interpretation"
43,Pulmonary II: Asthma,"Asthma Management,Acute Asthma Exacerbation"
44,Pulmonary III: Pulmonary Infections & Pneumonia Part 1,"Community-Acquired Pneumonia,Influenza Treatment in Pregnancy,Croup Management"
45,Pulmonary IV: Infections Pneumonia Part 2 & Occupational Lung Disease,"Community-Acquired Pneumonia,Pertussis Diagnosis,Bronchiolitis Management,Spirometry Interpretation"
46,Pulmonary V: Lung Cancer OSA Sarcoidosis & Pulmonary Fibrosis,"Lung Cancer Screening,Obstructive Sleep Apnea,Spirometry Interpretation"
47,The Major Arthritides,"Systemic Lupus Erythematosus,Fibromyalgia Management,Osteoarthritis Management"
48,Preoperative Examination & Management,"Perioperative Anticoagulation Management,Cardiovascular Risk Assessment"
49,Urologic Problems,"Prostate Cancer Screening,Stress Urinary Incontinence,Recurrent Nephrolithiasis Prevention,Nephrolithiasis Management"
